date,coin,price
2026-01-01,BTC,87520.18
2026-01-02,BTC,88727.67
2026-01-03,BTC,89926.28
2026-01-04,BTC,90593.85
2026-01-05,BTC,91373.22
2026-01-06,BTC,93926.80
2026-01-07,BTC,93666.86
2026-01-08,BTC,91257.16
2026-01-09,BTC,90983.52
2026-01-10,BTC,90504.90
2026-01-11,BTC,90442.02
2026-01-12,BTC,90819.37
2026-01-13,BTC,91134.97
2026-01-14,BTC,95260.44

2026-01-01,ETH,3300.17
2026-01-02,ETH,3370.44
2026-01-03,ETH,3410.50
2026-01-04,ETH,3425.32
2026-01-05,ETH,3434.05
2026-01-06,ETH,3390.12
2026-01-07,ETH,3310.44
2026-01-08,ETH,3283.32
2026-01-09,ETH,3189.54
2026-01-10,ETH,2939.74
2026-01-11,ETH,2982.26
2026-01-12,ETH,2952.71
2026-01-13,ETH,2956.47
2026-01-14,ETH,2953.25
